/wiki/English_words_of_African_origin | English words of African origin | English words of African origin
/wiki/List_of_English_words_of_Afrikaans_origin | List of English words of Afrikaans origin | List of English words of Afrikaans origin
/wiki/List_of_South_African_English_regionalisms | List of South African English regionalisms | List of South African English regionalisms
/wiki/List_of_South_African_slang_words | List of South African slang words | List of South African slang words
/wiki/List_of_South_African_English_regionalisms | List of South African English regionalisms | List of South African English regionalisms
/wiki/List_of_South_African_slang_words | List of South African slang words | List of South African slang words
/wiki/List_of_English_words_from_indigenous_languages_of_the_Americas | List of English words from indigenous languages of the Americas | List of English words from indigenous languages of the Americas
/wiki/List_of_English_words_of_Arabic_origin | List of English words of Arabic origin | List of English words of Arabic origin
/wiki/List_of_Arabic_star_names | List of Arabic star names | List of Arabic star names
/wiki/List_of_Arabic_star_names | List of Arabic star names | List of Arabic star names
/wiki/List_of_English_words_of_Australian_Aboriginal_origin | List of English words of Australian Aboriginal origin | List of English words of Australian Aboriginal origin
/wiki/List_of_English_words_of_Brittonic_origin | List of English words of Brittonic origin | List of English words of Brittonic origin
/wiki/Lists_of_English_words_of_Celtic_origin | Lists of English words of Celtic origin | Lists of English words of Celtic origin
/wiki/List_of_English_words_of_Chinese_origin | List of English words of Chinese origin | List of English words of Chinese origin
/wiki/List_of_English_words_of_Czech_origin | List of English words of Czech origin | List of English words of Czech origin
/wiki/List_of_English_words_of_Dravidian_origin | List of English words of Dravidian origin | List of English words of Dravidian origin
/wiki/List_of_English_words_of_Dutch_origin | List of English words of Dutch origin | List of English words of Dutch origin
/wiki/List_of_English_words_of_Afrikaans_origin | List of English words of Afrikaans origin | List of English words of Afrikaans origin
/wiki/List_of_South_African_slang_words | List of South African slang words | List of South African slang words
/wiki/List_of_place_names_of_Dutch_origin | List of place names of Dutch origin | List of place names of Dutch origin
/wiki/Australian_places_with_Dutch_names | Australian places with Dutch names | Australian places with Dutch names
/wiki/List_of_English_words_of_Afrikaans_origin | List of English words of Afrikaans origin | List of English words of Afrikaans origin
/wiki/List_of_South_African_slang_words | List of South African slang words | List of South African slang words
/wiki/List_of_place_names_of_Dutch_origin | List of place names of Dutch origin | List of place names of Dutch origin
/wiki/Australian_places_with_Dutch_names | Australian places with Dutch names | Australian places with Dutch names
/wiki/List_of_English_words_of_Etruscan_origin | List of English words of Etruscan origin | List of English words of Etruscan origin
/wiki/List_of_English_words_of_Finnish_origin | List of English words of Finnish origin | List of English words of Finnish origin
/wiki/List_of_English_words_of_French_origin | List of English words of French origin | List of English words of French origin
/wiki/Glossary_of_ballet | Glossary of ballet | Glossary of ballet
/wiki/List_of_French_expressions_in_English | List of French expressions in English | List of French expressions in English
/wiki/List_of_English_words_with_dual_French_and_Anglo-Saxon_variations | List of English words with dual French and Anglo-Saxon variations | List of English words with dual French and Anglo-Saxon variations
/wiki/List_of_pseudo-French_words_adapted_to_English | List of pseudo-French words adapted to English | List of pseudo-French words adapted to English
/wiki/List_of_English_Latinates_of_Germanic_origin | List of English Latinates of Germanic origin | List of English Latinates of Germanic origin
/wiki/Glossary_of_ballet | Glossary of ballet | Glossary of ballet
/wiki/List_of_French_expressions_in_English | List of French expressions in English | List of French expressions in English
/wiki/List_of_English_words_with_dual_French_and_Anglo-Saxon_variations | List of English words with dual French and Anglo-Saxon variations | List of English words with dual French and Anglo-Saxon variations
/wiki/List_of_pseudo-French_words_adapted_to_English | List of pseudo-French words adapted to English | List of pseudo-French words adapted to English
/wiki/List_of_English_Latinates_of_Germanic_origin | List of English Latinates of Germanic origin | List of English Latinates of Germanic origin
/wiki/List_of_English_words_of_Gaulish_origin | List of English words of Gaulish origin | List of English words of Gaulish origin
/wiki/List_of_German_expressions_in_English | List of German expressions in English | List of German expressions in English
/wiki/List_of_pseudo-German_words_adapted_to_English | List of pseudo-German words adapted to English | List of pseudo-German words adapted to English
/wiki/List_of_pseudo-German_words_adapted_to_English | List of pseudo-German words adapted to English | List of pseudo-German words adapted to English
/wiki/English_words_of_Greek_origin | English words of Greek origin | English words of Greek origin
/wiki/List_of_Greek_morphemes_used_in_English | List of Greek morphemes used in English | List of Greek morphemes used in English
/wiki/List_of_Greek_morphemes_used_in_English | List of Greek morphemes used in English | List of Greek morphemes used in English
/wiki/List_of_English_words_of_Hawaiian_origin | List of English words of Hawaiian origin | List of English words of Hawaiian origin
/wiki/List_of_English_words_of_Hebrew_origin | List of English words of Hebrew origin | List of English words of Hebrew origin
/wiki/List_of_English_words_of_Hindi_or_Urdu_origin | List of English words of Hindi or Urdu origin | List of English words of Hindi or Urdu origin
/wiki/List_of_English_words_of_Hungarian_origin | List of English words of Hungarian origin | List of English words of Hungarian origin
/wiki/List_of_English_words_of_Indian_origin | List of English words of Indian origin | List of English words of Indian origin
/wiki/List_of_English_words_of_Indonesian_origin | List of English words of Indonesian origin | List of English words of Indonesian origin
/wiki/Javanese_language | Javanese language | Javanese
/wiki/Malay_language | Malay language | Malay
/wiki/Sundanese_language | Sundanese language | Sundanese
/wiki/Papuan_languages | Papuan languages | Papuan
/wiki/Balinese_language | Balinese language | Balinese
/wiki/Dayak_language | Dayak language | Dayak
/wiki/List_of_English_words_of_Irish_origin | List of English words of Irish origin | List of English words of Irish origin
/wiki/List_of_Irish_words_used_in_the_English_language | List of Irish words used in the English language | List of Irish words used in the English language
/wiki/List_of_Irish_words_used_in_the_English_language | List of Irish words used in the English language | List of Irish words used in the English language
/wiki/List_of_English_words_of_Italian_origin | List of English words of Italian origin | List of English words of Italian origin
/wiki/List_of_Italian_musical_terms_used_in_English | List of Italian musical terms used in English | List of Italian musical terms used in English
/wiki/List_of_Italian_musical_terms_used_in_English | List of Italian musical terms used in English | List of Italian musical terms used in English
/wiki/List_of_English_words_of_Japanese_origin | List of English words of Japanese origin | List of English words of Japanese origin
/wiki/List_of_English_words_of_Korean_origin | List of English words of Korean origin | List of English words of Korean origin
/wiki/List_of_Latin_words_with_English_derivatives | List of Latin words with English derivatives | List of Latin words with English derivatives
/wiki/List_of_English_words_of_Malay_origin | List of English words of Malay origin | List of English words of Malay origin
/wiki/List_of_English_words_of_M%C4%81ori_origin | List of English words of M훮ori origin | List of English words of M훮ori origin
/wiki/List_of_English_words_of_Niger-Congo_origin | List of English words of Niger-Congo origin | List of English words of Niger-Congo origin
/wiki/List_of_English_words_of_Old_Norse_origin | List of English words of Old Norse origin | List of English words of Old Norse origin
/wiki/List_of_English_words_of_Persian_origin | List of English words of Persian origin | List of English words of Persian origin
/wiki/List_of_English_words_of_Philippine_origin | List of English words of Philippine origin | List of English words of Philippine origin
/wiki/List_of_English_words_of_Polish_origin | List of English words of Polish origin | List of English words of Polish origin
/wiki/List_of_English_words_of_Polynesian_origin | List of English words of Polynesian origin | List of English words of Polynesian origin
/wiki/List_of_English_words_of_Portuguese_origin | List of English words of Portuguese origin | List of English words of Portuguese origin
/wiki/List_of_English_words_of_Romani_origin | List of English words of Romani origin | List of English words of Romani origin
/wiki/List_of_English_words_of_Romanian_origin | List of English words of Romanian origin | List of English words of Romanian origin
/wiki/List_of_English_words_of_Russian_origin | List of English words of Russian origin | List of English words of Russian origin
/wiki/List_of_English_words_of_Sami_origin | List of English words of Sami origin | List of English words of Sami origin
/wiki/List_of_English_words_of_Sanskrit_origin | List of English words of Sanskrit origin | List of English words of Sanskrit origin
/wiki/List_of_English_words_of_Scandinavian_origin | List of English words of Scandinavian origin | List of English words of Scandinavian origin
/wiki/List_of_English_words_of_Scots_origin | List of English words of Scots origin | List of English words of Scots origin
/wiki/List_of_English_words_of_Scottish_Gaelic_origin | List of English words of Scottish Gaelic origin | List of English words of Scottish Gaelic origin
/wiki/List_of_English_words_of_Semitic_origin | List of English words of Semitic origin | List of English words of Semitic origin
/wiki/List_of_English_words_of_Spanish_origin | List of English words of Spanish origin | List of English words of Spanish origin
/wiki/List_of_English_words_of_Swedish_origin | List of English words of Swedish origin | List of English words of Swedish origin
/wiki/List_of_English_words_of_Turkic_origin | List of English words of Turkic origin | List of English words of Turkic origin
/wiki/List_of_English_words_of_Ukrainian_origin | List of English words of Ukrainian origin | List of English words of Ukrainian origin
/wiki/List_of_English_words_of_Welsh_origin | List of English words of Welsh origin | List of English words of Welsh origin
/wiki/List_of_English_words_of_Yiddish_origin | List of English words of Yiddish origin | List of English words of Yiddish origin
/wiki/List_of_English_words_of_Zulu_origin | List of English words of Zulu origin | List of English words of Zulu origin
/wiki/Anglicisation | Anglicisation | Anglicisation
/wiki/English_terms_with_diacritical_marks | English terms with diacritical marks | English terms with diacritical marks
/wiki/Inkhorn_term | Inkhorn term | Inkhorn term
/wiki/Linguistic_purism_in_English | Linguistic purism in English | Linguistic purism in English
/wiki/List_of_Germanic_and_Latinate_equivalents_in_English | List of Germanic and Latinate equivalents in English | List of Germanic and Latinate equivalents in English
/wiki/List_of_Greek_and_Latin_roots_in_English | List of Greek and Latin roots in English | List of Greek and Latin roots in English
/wiki/List_of_proposed_etymologies_of_OK | List of proposed etymologies of OK | List of proposed etymologies of OK
/wiki/List_of_Latin_legal_terms | List of Latin legal terms | List of Latin legal terms
http://www.egyptologyforum.org/AEloans.html | None | Ancient Egyptian Loan-Words in English
http://www.ezglot.com/etymologies.php?l=eng | None | List of etymologies of English words
/wiki/List_of_South_African_slang_words | List of South African slang words | South African
/wiki/List_of_English_words_of_Afrikaans_origin | List of English words of Afrikaans origin | Afrikaans
/wiki/List_of_English_words_of_Zulu_origin | List of English words of Zulu origin | Zulu
/wiki/List_of_English_words_of_Afrikaans_origin | List of English words of Afrikaans origin | Afrikaans
/wiki/List_of_English_words_of_Zulu_origin | List of English words of Zulu origin | Zulu
/wiki/List_of_English_words_from_indigenous_languages_of_the_Americas | List of English words from indigenous languages of the Americas | Indigenous languages of the Americas
/wiki/List_of_English_words_of_Arabic_origin | List of English words of Arabic origin | Arabic
/wiki/List_of_Arabic_star_names | List of Arabic star names | star names
/wiki/List_of_Arabic_star_names | List of Arabic star names | star names
/wiki/List_of_English_words_of_Chinese_origin | List of English words of Chinese origin | Chinese
/wiki/List_of_English_words_of_Hebrew_origin | List of English words of Hebrew origin | Hebrew
/wiki/List_of_English_words_of_Indian_origin | List of English words of Indian origin | India
/wiki/List_of_English_words_of_Dravidian_origin | List of English words of Dravidian origin | Dravidian
/wiki/List_of_English_words_of_Hindi_or_Urdu_origin | List of English words of Hindi or Urdu origin | Hindi
/wiki/List_of_English_words_of_Sanskrit_origin | List of English words of Sanskrit origin | Sanskrit
/wiki/List_of_English_words_of_Dravidian_origin | List of English words of Dravidian origin | Dravidian
/wiki/List_of_English_words_of_Hindi_or_Urdu_origin | List of English words of Hindi or Urdu origin | Hindi
/wiki/List_of_English_words_of_Sanskrit_origin | List of English words of Sanskrit origin | Sanskrit
/wiki/List_of_English_words_of_Indonesian_origin | List of English words of Indonesian origin | Indonesia
/wiki/List_of_English_words_of_Japanese_origin | List of English words of Japanese origin | Japanese
/wiki/List_of_English_words_of_Korean_origin | List of English words of Korean origin | Korean
/wiki/List_of_English_words_of_Malay_origin | List of English words of Malay origin | Malay
/wiki/List_of_English_words_of_Persian_origin | List of English words of Persian origin | Persian
/wiki/List_of_English_words_of_Philippine_origin | List of English words of Philippine origin | Philippines
/wiki/List_of_English_words_of_Turkic_origin | List of English words of Turkic origin | Turkic
/wiki/List_of_English_words_of_Hindi_or_Urdu_origin | List of English words of Hindi or Urdu origin | Urdu
/wiki/List_of_English_words_of_Etruscan_origin | List of English words of Etruscan origin | Etruscan
/wiki/List_of_English_words_of_Greek_origin | List of English words of Greek origin | Greek
/wiki/List_of_Greek_morphemes_used_in_English | List of Greek morphemes used in English | morphemes
/wiki/List_of_Greek_morphemes_used_in_English | List of Greek morphemes used in English | morphemes
/wiki/List_of_English_words_of_Romani_origin | List of English words of Romani origin | Romani
/wiki/List_of_English_words_of_Czech_origin | List of English words of Czech origin | Czech
/wiki/List_of_English_words_of_Polish_origin | List of English words of Polish origin | Polish
/wiki/List_of_English_words_of_Russian_origin | List of English words of Russian origin | Russian
/wiki/List_of_English_words_of_Ukrainian_origin | List of English words of Ukrainian origin | Ukrainian
/wiki/List_of_English_words_of_Czech_origin | List of English words of Czech origin | Czech
/wiki/List_of_English_words_of_Polish_origin | List of English words of Polish origin | Polish
/wiki/List_of_English_words_of_Russian_origin | List of English words of Russian origin | Russian
/wiki/List_of_English_words_of_Ukrainian_origin | List of English words of Ukrainian origin | Ukrainian
/wiki/List_of_English_words_of_Finnish_origin | List of English words of Finnish origin | Finnish
/wiki/List_of_English_words_of_Hungarian_origin | List of English words of Hungarian origin | Hungarian
/wiki/List_of_English_words_of_Sami_origin | List of English words of Sami origin | Sami
/wiki/List_of_English_words_of_Finnish_origin | List of English words of Finnish origin | Finnish
/wiki/List_of_English_words_of_Hungarian_origin | List of English words of Hungarian origin | Hungarian
/wiki/List_of_English_words_of_Sami_origin | List of English words of Sami origin | Sami
/wiki/List_of_English_words_of_Brittonic_origin | List of English words of Brittonic origin | Brittonic
/wiki/List_of_English_words_of_Gaulish_origin | List of English words of Gaulish origin | Gaulish
/wiki/List_of_English_words_of_Irish_origin | List of English words of Irish origin | Irish
/wiki/List_of_English_words_of_Scottish_Gaelic_origin | List of English words of Scottish Gaelic origin | Scottish Gaelic
/wiki/List_of_English_words_of_Welsh_origin | List of English words of Welsh origin | Welsh
/wiki/List_of_English_words_of_Dutch_origin | List of English words of Dutch origin | Dutch
/wiki/List_of_place_names_of_Dutch_origin | List of place names of Dutch origin | place names
/wiki/Australian_places_with_Dutch_names | Australian places with Dutch names | Australia
/wiki/List_of_place_names_of_Dutch_origin | List of place names of Dutch origin | place names
/wiki/Australian_places_with_Dutch_names | Australian places with Dutch names | Australia
/wiki/Australian_places_with_Dutch_names | Australian places with Dutch names | Australia
/wiki/List_of_German_expressions_in_English | List of German expressions in English | German
/wiki/List_of_pseudo-German_words_adapted_to_English | List of pseudo-German words adapted to English | pseudo-German
/wiki/List_of_pseudo-German_words_adapted_to_English | List of pseudo-German words adapted to English | pseudo-German
/wiki/List_of_English_words_of_Norwegian_origin | List of English words of Norwegian origin | Norwegian
/wiki/List_of_English_words_of_Old_Norse_origin | List of English words of Old Norse origin | Old Norse
/wiki/List_of_English_words_of_Scots_origin | List of English words of Scots origin | Scots
/wiki/List_of_English_words_of_Swedish_origin | List of English words of Swedish origin | Swedish
/wiki/List_of_English_words_of_Yiddish_origin | List of English words of Yiddish origin | Yiddish
/wiki/List_of_English_words_of_French_origin | List of English words of French origin | French
/wiki/List_of_French_expressions_in_English | List of French expressions in English | expressions
/wiki/List_of_English_words_with_dual_French_and_Anglo-Saxon_variations | List of English words with dual French and Anglo-Saxon variations | with Anglo-Saxon variations
/wiki/List_of_pseudo-French_words_adapted_to_English | List of pseudo-French words adapted to English | pseudo-French
/wiki/List_of_French_expressions_in_English | List of French expressions in English | expressions
/wiki/List_of_English_words_with_dual_French_and_Anglo-Saxon_variations | List of English words with dual French and Anglo-Saxon variations | with Anglo-Saxon variations
/wiki/List_of_pseudo-French_words_adapted_to_English | List of pseudo-French words adapted to English | pseudo-French
/wiki/List_of_English_words_of_Italian_origin | List of English words of Italian origin | Italian
/wiki/List_of_Italian_musical_terms_used_in_English | List of Italian musical terms used in English | musical terms
/wiki/List_of_English_words_of_Latin_origin | List of English words of Latin origin | Latin
/wiki/List_of_English_words_of_Portuguese_origin | List of English words of Portuguese origin | Portuguese
/wiki/List_of_English_words_of_Romanian_origin | List of English words of Romanian origin | Romanian
/wiki/List_of_English_words_of_Spanish_origin | List of English words of Spanish origin | Spanish
/wiki/List_of_English_words_of_Australian_Aboriginal_origin | List of English words of Australian Aboriginal origin | Australian aboriginal
/wiki/List_of_English_words_of_Hawaiian_origin | List of English words of Hawaiian origin | Hawaiian
/wiki/List_of_English_words_of_M%C4%81ori_origin | List of English words of M훮ori origin | M훮ori
/wiki/List_of_English_words_of_Polynesian_origin | List of English words of Polynesian origin | Polynesian
